sondagens,Data de amostragem,Amostra,Abstenção,PS,PSD,BE,CDU,CDS,PAN,CH,IL,L,O,V
Pitagórica (diário),11-14 jan 2022,608,,38.8,29.3,6.8,4.6,1.3,1.9,7.8,4.9,1.5,3.1,9.5
Pitagórica (diário),10-13 jan 2022,608,,38.9,29.7,6.2,4.6,1.7,2.1,6.9,5.4,1.2,3.3,9.2
Aximage,6-12 jan 2022,807,,38.1,28.5,7.4,4.8,1.8,2.1,9.0,3.7,,4.6,9.6 
CESOP–UCP,6–10 jan 2022,1246,,39,30,6,5,2,3,6,4,2,3,9
Intercampus,4–10 jan 2022,615,,35.3,29.3,8.5,6.0,1.1,4.3,7.1,5.6,0.6,2.2,6.0
Pitagórica,30 dez 2021–9 jan 2022,600,,39.6,30.0,6.4,5.1,1.5,1.8,5.7,5.1,,4.8,9.6
CESOP–UCP,28 dez 2021–5 jan 2022,1238,,38,32,6,6,2,2,5,5,1,3,6
ICS/ISCTE,10–20 dez 2021,901,,38,31,5,6,2,2,7,4,,5,7
Intercampus,7–14 dez 2021,603,,35.5,26.8,6.6,4.5,1.6,3.5,8.9,6.4,0.8,5.3,8.7
Aximage,9–13 dez 2021,810,,35.4,33.2,7.3,5.1,1.3,2.5,6.2,3.7,,5.3,2.2
Pitagórica,7–12 dez 2021,625,,37,31.7,4.9,5.9,1,3,6.3,5.9,,4.3,5.3
Pitagórica,10–15 nov 2021,625,,38.2,32.1,5.4,5.2,0.8,1.9,7.1,4.2,,5.1,6.1
Intercampus,5–11 nov 2021,612,,39,28.1,7.7,5.3,2,4.4,6.3,4.2,0.2,2.8,10.9
CESOP–UCP,29 out–4 nov 2021,878,,39,30,7,5,2,3,5,5,,4,9
ICS/ISCTE,21 out–1 nov 2021,800,,40,26,5,6,1,2,10,2,,8,14
Aximage,28–31 out 2021,803,,38.5,24.4,8.8,4.6,2,2.8,7.7,4.7,,6.4,14.1
Eurosondagem,18–21 out 2021,1028,,38.1,27.5,5.1,5.6,2.5,2.8,9.2,5.5,,3.7,10.6
